#,Jugadores,Posicion,Edad,Nacido,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €,Pais
6,Nemanja Maksimović,Pivote,28,26/01/1995,"1,84",derecho,39.0,-,23/03/2016,10000000,Serbia
15,Marko Grujic,Pivote,27,13/04/1996,"1,91",derecho,17.0,-,25/05/2016,9000000,Serbia
24,Uroš Račić,Pivote,25,17/03/1998,"1,93",ambidiestro,9.0,-,24/03/2021,6500000,Serbia
8,Nemanja Gudelj,Pivote,31,16/11/1991,"1,87",derecho,48.0,1,05/03/2014,4000000,Serbia
20,Sergej Milinković-Savić,Mediocentro,28,27/02/1995,"1,91",derecho,35.0,6,10/11/2017,60000000,Serbia
16,Saša Lukić,Mediocentro,26,13/08/1996,"1,83",derecho,32.0,2,07/09/2018,13000000,Serbia
19,Ivan Ilic,Mediocentro,22,17/03/2001,"1,85",izquierdo,5.0,-,07/06/2021,13000000,Serbia
17,Filip Kostic,Interior izquierdo,30,01/11/1992,"1,84",izquierdo,50.0,3,07/06/2015,24000000,Serbia
22,Darko Lazović,Interior izquierdo,32,15/09/1990,"1,81",derecho,26.0,-,14/12/2008,2500000,Serbia
3,Filip Mladenovic,Interior izquierdo,31,15/08/1991,"1,80",izquierdo,19.0,1,31/05/2012,1200000,Serbia
21,Filip Djuricic,Mediocentro ofensivo,31,30/01/1992,"1,81",derecho,36.0,4,29/02/2012,2500000,Serbia
10,Dusan Tadić,Extremo izquierdo,34,20/11/1988,"1,81",izquierdo,90.0,18,-,7000000,Serbia
7,Nemanja Radonjić,Extremo izquierdo,27,15/02/1996,"1,85",ambidiestro,36.0,5,14/11/2017,4000000,Serbia
-,Stefan Mitrovic,Extremo izquierdo,20,15/08/2002,"1,81",derecho,1.0,-,24/09/2022,1500000,Serbia
14,Andrija Zivkovic,Extremo derecho,26,11/07/1996,"1,69",izquierdo,28.0,1,11/10/2013,6000000,Serbia
18,Dušan Vlahović,Delantero centro,23,28/01/2000,"1,90",izquierdo,16.0,8,11/10/2020,80000000,Serbia
9,Aleksandar Mitrović,Delantero centro,28,16/09/1994,"1,89",derecho,76.0,50,07/06/2013,28000000,Serbia
11,Luka Jović,Delantero centro,25,23/12/1997,"1,82",ambidiestro,28.0,9,04/06/2018,14000000,Serbia
-,Djordje Jovanovic,Delantero centro,24,15/02/1999,"1,87",derecho,1.0,-,05/06/2022,2500000,Serbia
23,Alfred Gomis,Portero,29,05/09/1993,"1,96",derecho,14,-,14/11/2017,3000000,Senegal
-,Mory Diaw,Portero,30,22/06/1993,"1,95",derecho,-,-,-,1500000,Senegal
1,Seny Dieng,Portero,28,23/11/1994,"1,93",derecho,4,-,30/03/2021,1500000,Senegal
3,Kalidou Koulibaly,Defensa central,32,20/06/1991,"1,86",derecho,64,-,05/09/2015,35000000,Senegal
-,Moussa Niakhaté,Defensa central,27,08/03/1996,"1,90",izquierdo,-,-,-,18000000,Senegal
22,Abdou Diallo,Defensa central,27,04/05/1996,"1,87",izquierdo,18,2,26/03/2021,15000000,Senegal
4,Pape Abou Cissé,Defensa central,27,14/09/1995,"1,98",derecho,13,1,13/10/2018,6000000,Senegal
2,Formose Mendy,Defensa central,22,02/01/2001,"1,91",derecho,2,-,24/09/2022,2500000,Senegal
13,Ismail Jakobs,Lateral izquierdo,23,17/08/1999,"1,84",izquierdo,2,-,24/09/2022,7000000,Senegal
25,Fodé Ballo-Touré,Lateral izquierdo,26,03/01/1997,"1,82",izquierdo,14,-,26/03/2021,3500000,Senegal
26,Pape Gueye,Pivote,24,24/01/1999,"1,89",izquierdo,12,-,14/11/2021,10000000,Senegal
6,Nampalys Mendy,Pivote,31,23/06/1992,"1,67",derecho,19,-,26/03/2021,3500000,Senegal
14,Mamadou Loum,Pivote,26,30/12/1996,"1,88",derecho,3,-,26/03/2019,3500000,Senegal
8,Cheikhou Kouyaté,Pivote,33,21/12/1989,"1,89",derecho,82,4,29/02/2012,3000000,Senegal
17,Pape Matar Sarr,Mediocentro,20,14/09/2002,"1,84",derecho,10,-,26/03/2021,15000000,Senegal
5,Idrissa Gueye,Mediocentro,33,26/09/1989,"1,74",derecho,94,7,11/11/2011,8000000,Senegal
21,Pathé Ciss,Mediocentro,29,16/03/1994,"1,86",derecho,1,-,24/09/2022,4000000,Senegal
24,Moustapha Name,Mediocentro,28,05/05/1995,"1,85",ambidiestro,6,-,11/11/2020,2000000,Senegal
20,Iliman Ndiaye,Mediocentro ofensivo,23,06/03/2000,"1,80",,2,-,04/06/2022,3500000,Senegal
10,Sadio Mané,Extremo izquierdo,31,10/04/1992,"1,74",derecho,92,33,25/05/2012,60000000,Senegal
7,Ismaïla Sarr,Extremo derecho,25,25/02/1998,"1,85",derecho,47,10,08/01/2017,22000000,Senegal
